recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
82,1100.0,460.0,2.2,0.8,1037.85,17.39,1.23,2,2024-01-04 08:53:23
83,1070.0,590.0,2.1,0.8,1003.77,20.47,1.2,3,2024-01-04 08:53:20
84,1680.0,630.0,2.15,0.9,1779.93,24.67,1.36,4,2024-01-04 08:53:11
85,530.0,350.0,1.85,0.8,509.94,13.04,1.06,1,2024-01-04 09:53:01
86,1115.0,455.0,2.2,0.8,1048.26,17.29,1.23,2,2024-01-04 09:53:23
87,1085.0,600.0,2.1,0.8,1013.88,20.39,1.2,3,2024-01-04 09:53:20
88,1690.0,640.0,2.15,0.9,1791.14,24.88,1.36,4,2024-01-04 09:53:11
89,540.0,355.0,1.9,0.8,520.08,13.19,1.09,1,2024-01-04 10:53:01
90,1130.0,470.0,2.25,0.8,1058.67,17.49,1.26,2,2024-01-04 10:53:23
91,1090.0,610.0,2.1,0.8,1024.99,20.3,1.2,3,2024-01-04 10:53:20
92,1700.0,650.0,2.15,0.9,1802.35,25.09,1.36,4,2024-01-04 10:53:11
93,437.0,360.0,1.9,0.8,530.22,13.34,1.09,1,2024-01-04 11:53:01
94,1145.0,475.0,2.25,0.8,1069.08,17.59,1.26,2,2024-01-04 11:53:23
95,1105.0,620.0,2.1,0.8,1036.1,20.21,1.2,3,2024-01-04 11:53:20
96,1710.0,660.0,2.15,0.9,1813.57,25.3,1.36,4,2024-01-04 11:53:11
97,560.0,365.0,1.9,0.8,540.36,13.49,1.09,1,2024-01-04 12:53:01
98,1160.0,480.0,2.3,0.8,1079.5,17.69,1.29,2,2024-01-04 12:53:23
99,1120.0,630.0,2.1,0.8,1047.21,20.12,1.2,3,2024-01-04 12:53:20
100,1720.0,670.0,2.2,0.9,1824.78,25.51,1.36,4,2024-01-04 12:53:11
101,570.0,370.0,1.9,0.8,550.5,13.64,1.09,1,2024-01-04 13:53:01
102,1175.0,485.0,2.3,0.8,1090.31,17.79,1.29,2,2024-01-04 13:53:23
103,1135.0,640.0,2.1,0.8,1058.32,20.03,1.2,3,2024-01-04 13:53:20
104,1730.0,680.0,2.2,0.9,1836.0,25.72,1.36,4,2024-01-04 13:53:11
105,545.0,375.0,1.9,0.8,560.64,13.79,1.09,1,2024-01-04 14:53:01
106,1190.0,490.0,2.3,0.8,1100.73,17.89,1.29,2,2024-01-04 14:53:23
107,1150.0,650.0,2.1,0.8,1070.43,19.94,1.2,3,2024-01-04 14:53:20
108,1740.0,690.0,2.2,0.9,1847.21,25.93,1.36,4,2024-01-04 14:53:11
109,510.0,380.0,1.9,0.8,570.78,13.94,1.09,1,2024-01-04 15:53:01
110,1205.0,495.0,2.35,0.8,1111.14,17.99,1.29,2,2024-01-04 15:53:23
111,1165.0,660.0,2.1,0.8,1082.54,19.85,1.2,3,2024-01-04 15:53:20
112,1750.0,700.0,2.2,0.9,1858.42,26.14,1.36,4,2024-01-04 15:53:11
113,420.0,385.0,1.9,0.8,580.92,14.09,1.09,1,2024-01-04 16:53:01
114,1220.0,500.0,2.35,0.8,1121.56,18.09,1.29,2,2024-01-04 16:53:23
115,1180.0,670.0,2.1,0.8,1094.64,19.76,1.2,3,2024-01-04 16:53:20
116,1760.0,710.0,2.2,0.9,1869.63,26.35,1.36,4,2024-01-04 16:53:11
117,469.0,390.0,1.9,0.8,591.06,14.24,1.09,1,2024-01-04 17:53:01
118,1235.0,505.0,2.35,0.8,1132.97,18.19,1.29,2,2024-01-04 17:53:23
119,1195.0,680.0,2.1,0.8,1106.75,19.67,1.2,3,2024-01-04 17:53:20
120,1770.0,720.0,2.2,0.9,1880.84,26.56,1.36,4,2024-01-04 17:53:11
